perturbation,n_signatures,signatures,lincs_score_mean,lincs_score_max,best_rank,clinical_phase,moa,target,indication,als_trial_status,als_trial_notes,composite_score
MG-132,1,FUS_KO,0.0566,0.0566,4,Preclinical,proteasome inhibitor,PSMB1,,,,0.0566
mitoxantrone,1,FUS_KO,0.0566,0.0566,7,Launched,topoisomerase inhibitor,TOP2A,multiple sclerosis|prostate cancer|acute myeloid leukemia (AML),,,0.0566
BVT 948,1,FUS_P525L_heteroz,0.0561,0.0561,28,Preclinical,tyrosine phosphatase inhibitor,PTPN1|PTPN11|PTPN2,,,,0.0561
Ursolic Acid,1,FUS_P525L_heteroz,0.0561,0.0561,32,Phase 2/Phase 3,ATPase inhibitor|NFkB pathway inhibitor|STAT inhibitor,HSD11B1|PLA2G1B|PTPN1|PYGM,,,,0.0561
X0379,1,FUS_P525L_heteroz,0.0561,0.0561,41,,,,,,,0.0561
entinostat,1,FUS_P525L_heteroz,0.0561,0.0561,47,Phase 3,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC9,,,,0.0561
AT-7519,1,TARDBP_M337V,0.0545,0.0569,12,Phase 2,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CDK6|CDK9,,,,0.0545
MENADIONE,1,TARDBP_M337V,0.0522,0.0569,7,Launched,mitochondrial DNA polymerase inhibitor|phosphatase inhibitor,AOX1|BGLAP|F10|F2|F7|F9|GGCX|NQO1|NQO2|PROC|PROS1|PROZ|VKORC1|VKORC1L1,ulcerative colitis|diarrhea|headache|varicose veins|rheumatoid arthritis,,,0.0522
MK-0591,1,TARDBP_M337V,0.0521,0.0521,14,,,,,,,0.0521
NICLOSAMIDE,1,TARDBP_M337V,0.0521,0.0521,15,Launched,DNA replication inhibitor|STAT inhibitor,STAT3,tapeworm,,,0.0521
MST- 312,1,TARDBP_M337V,0.0521,0.0521,18,,,,,,,0.0521
Dorsomorphin dihydrochloride,1,TARDBP_M337V,0.0521,0.0521,20,,,,,,,0.0521
7241-4207,1,TARDBP_M337V,0.0521,0.0521,22,,,,,,,0.0521
nilotinib,1,TARDBP_M337V,0.0521,0.0521,23,Launched,Abl kinase inhibitor|Bcr-Abl kinase inhibitor,ABL1|KIT,chronic myeloid leukemia (CML),,,0.0521
PHA-793887,1,TARDBP_M337V,0.0521,0.0521,29,Phase 1,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CDK7|CDK9,,,,0.0521
BMS-345541,1,TARDBP_M337V,0.0521,0.0521,31,Preclinical,IKK inhibitor,CHUK|IKBKB,,,,0.0521
NCGC00188536-01,1,FUS_KO,0.0519,0.0519,14,,,,,,,0.0519
WYE-125132,1,FUS_R495X,0.0503,0.0529,14,Preclinical,mTOR inhibitor,MTOR,,,,0.0503
MW-ras12,1,FUS_R495X,0.0476,0.0476,17,,,,,,,0.0476
"""""""Ingenol 3, 20-dibenzoate""""""",1,FUS_R495X,0.0476,0.0476,18,,,,,,,0.0476
MLN2238,1,FUS_R495X,0.0476,0.0476,22,,,,,,,0.0476
DG-041,1,FUS_R495X,0.0476,0.0476,24,,,,,,,0.0476
PF-477736,1,FUS_R495X,0.0476,0.0476,32,Phase 1,CHK inhibitor,CHEK1|CHEK2,,,,0.0476
AS-605240,1,FUS_R495X,0.0476,0.0476,34,,,,,,,0.0476
PD-0325901,1,FUS_R495X,0.0476,0.0476,36,Phase 2,MEK inhibitor,MAP2K1,,,,0.0476
curcubitacin I,1,FUS_P525L_homoz,0.0474,0.0474,17,,,,,,,0.0474
Chemistry 2804,1,FUS_P525L_homoz,0.0474,0.0474,19,,,,,,,0.0474
5846833,1,FUS_P525L_homoz,0.0474,0.0474,21,,,,,,,0.0474
DL-PDMP,1,TARDBP_M337V,0.0474,0.0474,33,,,,,,,0.0474
GW405833 hydrochloride,1,TARDBP_M337V,0.0474,0.0474,35,,,,,,,0.0474
HY-11001,1,TARDBP_M337V,0.0474,0.0474,45,,,,,,,0.0474
KM 00927,1,TARDBP_M337V,0.0474,0.0474,47,,,,,,,0.0474
pelitinib,1,FUS_KO,0.0472,0.0472,36,Phase 2,EGFR inhibitor,EGFR,,,,0.0472
AZ20,1,FUS_KO,0.0472,0.0472,42,Preclinical,ATR kinase inhibitor,ATR|MTOR,,,,0.0472
CPT 11,1,FUS_P525L_homoz,0.0427,0.0427,31,,,,,,,0.0427
PALDA,1,FUS_P525L_homoz,0.0427,0.0427,32,,,,,,,0.0427
CGK 733,1,FUS_P525L_homoz,0.0427,0.0427,33,Preclinical,ATM kinase inhibitor|ATR kinase inhibitor,ATM|ATR,,,,0.0427
3-(piperidin-1-yl)propyl-4-amino-5-chloro-2methoxybenzoate . Hydrochloride,1,FUS_P525L_homoz,0.0427,0.0427,39,,,,,,,0.0427
NCGC00188740-01,1,FUS_P525L_homoz,0.0427,0.0427,42,,,,,,,0.0427
NCGC00238536-01,1,FUS_P525L_homoz,0.0427,0.0427,43,,,,,,,0.0427
GR-231,1,FUS_P525L_homoz,0.0427,0.0427,50,,,,,,,0.0427
SERICETIN DIMETHYL ETHER,1,FUS_KO,0.0425,0.0425,43,,,,,,,0.0425
BI 2536,1,FUS_KO,0.0425,0.0425,45,Phase 2,PLK inhibitor,BRD4|PLK1|PLK2|PLK3,,,,0.0425
PNU 74654,1,FUS_KO,0.0425,0.0425,46,Preclinical,beta-catenin inhibitor,CTNNB1|TCF4,,,,0.0425
4-Demethoxydaunorubicin hydrochloride (65),1,FUS_KO,0.0425,0.0425,48,,,,,,,0.0425
